a_date,a_country_iso2,asn_count
2019-02-23,LT,163
2019-02-24,LT,163
2019-02-25,LT,163
2019-02-26,LT,163
2019-02-27,LT,163
2019-02-28,LT,163
2019-03-01,LT,163
2019-03-02,LT,163
2019-03-03,LT,163
2019-03-04,LT,163
2019-03-05,LT,163
2019-03-06,LT,163
2019-03-07,LT,163
2019-03-08,LT,163
2019-03-09,LT,163
2019-03-10,LT,163
2019-03-11,LT,163
2019-03-12,LT,163
2019-03-13,LT,163
2019-03-14,LT,163
2019-03-15,LT,163
2019-03-16,LT,163
2019-03-17,LT,163
2019-03-18,LT,163
2019-03-19,LT,163
2019-03-20,LT,163
2019-03-21,LT,163
2019-03-22,LT,163
2019-03-23,LT,163
2019-03-24,LT,163
2019-03-25,LT,163
2019-03-26,LT,163
2019-03-27,LT,163
2019-03-28,LT,163
2019-03-29,LT,163
2019-03-30,LT,163
2019-03-31,LT,163
2019-04-01,LT,163
2019-04-02,LT,163
2019-04-03,LT,163
2019-04-04,LT,163
2019-04-05,LT,163
2019-04-06,LT,163
2019-04-07,LT,163
2019-04-08,LT,163
2019-04-09,LT,163
2019-04-10,LT,163
2019-04-11,LT,163
2019-04-12,LT,163
2019-04-13,LT,163
2019-04-14,LT,163
2019-04-15,LT,163
2019-04-16,LT,163
2019-04-17,LT,163
2019-04-18,LT,163
2019-04-19,LT,163
2019-04-20,LT,163
2019-04-21,LT,163
2019-04-22,LT,163
2019-04-23,LT,163
2019-04-24,LT,163
2019-04-25,LT,163
2019-04-26,LT,163
2019-04-27,LT,163
2019-04-28,LT,163
2019-04-29,LT,163
2019-04-30,LT,163
2019-05-01,LT,163
2019-05-02,LT,163
2019-05-03,LT,163
2019-05-04,LT,163
2019-05-05,LT,163
2019-05-06,LT,163
2019-05-07,LT,163
2019-05-08,LT,163
2019-05-09,LT,163
2019-05-10,LT,163
2019-05-11,LT,163
2019-05-12,LT,163
2019-05-13,LT,163
2019-05-14,LT,163
2019-05-15,LT,163
2019-05-16,LT,163
2019-05-17,LT,163
2019-05-18,LT,163
2019-05-19,LT,163
2019-05-20,LT,163
2019-05-21,LT,163
2019-05-22,LT,163
2019-05-23,LT,163
2019-05-24,LT,163
2019-05-25,LT,163
2019-05-26,LT,163
2019-05-27,LT,163
2019-05-28,LT,163
2019-05-29,LT,163
2019-05-30,LT,163
2019-05-31,LT,163
2019-06-01,LT,163
2019-06-02,LT,163
2019-06-03,LT,163
2019-06-04,LT,163
2019-06-05,LT,163
2019-06-06,LT,163
2019-06-07,LT,163
2019-06-08,LT,163
2019-06-09,LT,163
2019-06-10,LT,163
2019-06-11,LT,163
2019-06-12,LT,163
2019-06-13,LT,163
2019-06-14,LT,163
2019-06-15,LT,163
2019-06-16,LT,163
2019-06-17,LT,163
2019-06-18,LT,163
2019-06-19,LT,163
2019-06-20,LT,163
2019-06-21,LT,163
2019-06-22,LT,163
2019-06-23,LT,163
2019-06-24,LT,163
2019-06-25,LT,163
2019-06-26,LT,163
2019-06-27,LT,163
2019-06-28,LT,163
2019-06-29,LT,163
2019-06-30,LT,163
2019-07-01,LT,163
2019-07-02,LT,163
2019-07-03,LT,163
2019-07-04,LT,163
2019-07-05,LT,163
2019-07-06,LT,163
2019-07-07,LT,163
2019-07-08,LT,163
2019-07-09,LT,163
2019-07-10,LT,163
2019-07-11,LT,163
2019-07-12,LT,163
2019-07-13,LT,163
2019-07-14,LT,163
2019-07-15,LT,163
2019-07-16,LT,163
2019-07-17,LT,163
2019-07-18,LT,163
2019-07-19,LT,163
2019-07-20,LT,163
2019-07-21,LT,163
2019-07-22,LT,163
2019-07-23,LT,163
2019-07-24,LT,163
2019-07-25,LT,163
2019-07-26,LT,163
2019-07-27,LT,163
2019-07-28,LT,163
2019-07-29,LT,163
2019-07-30,LT,163
2019-07-31,LT,163
2019-08-01,LT,163
2019-08-02,LT,163
2019-08-03,LT,163
2019-08-04,LT,163
2019-08-05,LT,163
2019-08-06,LT,163
2019-08-07,LT,163
2019-08-08,LT,163
2019-08-09,LT,163
2019-08-10,LT,163
2019-08-11,LT,163
2019-08-12,LT,163
2019-08-13,LT,163
2019-08-14,LT,163
2019-08-15,LT,163
2019-08-16,LT,163
2019-08-17,LT,163
2019-08-18,LT,163
2019-08-19,LT,163
2019-08-20,LT,163
2019-08-21,LT,163
2019-08-22,LT,163
2019-08-23,LT,163
2019-08-24,LT,163
2019-08-25,LT,163
2019-08-26,LT,163
2019-08-27,LT,163
2019-08-28,LT,163
2019-08-29,LT,163
2019-08-30,LT,163
2019-08-31,LT,163
2019-09-01,LT,163
2019-09-02,LT,163
2019-09-03,LT,163
2019-09-04,LT,163
2019-09-05,LT,163
2019-09-06,LT,163
2019-09-07,LT,163
2019-09-08,LT,163
2019-09-09,LT,163
2019-09-10,LT,163
2019-09-11,LT,163
2019-09-12,LT,163
